model,attack_model,epsilon,Accuracy,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Macro F1,Weighted F1,TPR,FNR,TNR,FPR
,,,,,,,,,,,,,
model,attack_model,epsilon,Accuracy,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Macro F1,Weighted F1,TPR,FNR,TNR,FPR
,,,,,,,,,,,,,
DNN,baseline,0,0.9998869124157602,0.9991141145568859,0.9998870923840951,0.8888896297876882,0.9998869124157602,0.9350515414481724,0.9998782108214375,0.8888896297876882,0.11111037021231196,0.9999760596543066,2.3940345693446644e-05
DNN,BIM,0.01,0.9998952892738521,0.9990321391555412,0.9998954768667886,0.8956043956043956,0.9998952892738521,0.9391517005959731,0.9998869822159983,0.8956043956043956,0.1043956043956044,0.9999779056195572,2.2094380442736087e-05
DNN,BIM,0.1,0.999798955405796,0.9961945176476711,0.9998012259436583,0.8487350814054089,0.999798955405796,0.9043722046092373,0.9997822951190745,0.8487350814054089,0.15126491859459104,0.9999585579150814,4.1442084918573476e-05
DNN,BIM,0.2,0.9935414424111948,0.6239226706862467,0.9938725287078848,0.7340417425568896,0.9935414424111948,0.6424946244490969,0.9936386356001283,0.7340417425568896,0.26595825744311047,0.9986509756884828,0.0013490243115169957
DNN,BIM,0.3,0.9302500910983318,0.3870031939222329,0.9400596710080226,0.3672500329683024,0.9302500910983318,0.2466837510954901,0.9119055579812592,0.3672500329683024,0.6327499670316976,0.8556608828919959,0.14433911710800412
DNN,FGSM,0.01,0.9998952892738521,0.9990321391555412,0.9998954768667886,0.8956043956043956,0.9998952892738521,0.9391517005959731,0.9998869822159983,0.8956043956043956,0.1043956043956044,0.9999779056195572,2.2094380442736087e-05
DNN,FGSM,0.1,0.9998575934124388,0.9687618376159819,0.9998514559654146,0.8631612720336301,0.9998575934124388,0.906057557166102,0.9998452206289371,0.8631612720336301,0.1368387279663699,0.999970665783233,2.933421676699329e-05
DNN,FGSM,0.2,0.9861656188613337,0.5194731201236664,0.9939181618243426,0.7641033436883259,0.9861656188613337,0.5403746402775187,0.9898945730814454,0.7641033436883259,0.23589665631167409,0.9967690000394865,0.0032309999605135095
DNN,FGSM,0.3,0.9459148157300641,0.3648168161684099,0.9607165928198349,0.5226712054621274,0.9459148157300641,0.3378387057201759,0.9514009240552921,0.5226712054621274,0.4773287945378725,0.938540503205008,0.06145949679499192
DNN,PGD,0.01,0.9998952892738521,0.9990321391555412,0.9998954768667886,0.8956043956043956,0.9998952892738521,0.9391517005959731,0.9998869822159983,0.8956043956043956,0.1043956043956044,0.9999779056195572,2.2094380442736087e-05
DNN,PGD,0.1,0.999798955405796,0.9961945176476711,0.9998012259436583,0.8487350814054089,0.999798955405796,0.9043722046092373,0.9997822951190745,0.8487350814054089,0.15126491859459104,0.9999585579150814,4.1442084918573476e-05
DNN,PGD,0.2,0.9935414424111948,0.6239226706862467,0.9938725287078848,0.7340417425568896,0.9935414424111948,0.6424946244490969,0.9936386356001283,0.7340417425568896,0.26595825744311047,0.9986509756884828,0.0013490243115169957
DNN,PGD,0.3,0.9302500910983318,0.3870031939222329,0.9400596710080226,0.3672500329683024,0.9302500910983318,0.2466837510954901,0.9119055579812592,0.3672500329683024,0.6327499670316976,0.8556608828919959,0.14433911710800412
model,attack_model,epsilon,Accuracy,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Macro F1,Weighted F1,TPR,FNR,TNR,FPR
,,,,,,,,,,,,,
DNN,baseline,0,0.9999120429900358,0.9534975032117939,0.9999178581348469,0.9222101925444299,0.9999120429900358,0.9329313901319264,0.9999097329201161,0.9222101925444299,0.07778980745557015,0.9999820838384258,1.791616157418051e-05
DNN,DF,0.01,0.01809820190741059,0.11719837989986723,0.15526229360479646,0.27983757453638447,0.01809820190741059,0.09598088681866485,0.019314563157591665,0.27983757453638447,0.7201624254636154,0.7156578153196936,0.28434218468030625
DNN,DF,0.1,0.014860546254916169,0.041384114906898514,0.14206360983569344,0.19580305351342558,0.014860546254916169,0.018919300037482413,0.017356844749234972,0.19580305351342558,0.8041969464865744,0.7066459414744367,0.29335405852556323
DNN,DF,0.2,0.010408246179105603,0.03208992929822087,0.12347091295733524,0.18170809082745382,0.010408246179105603,0.010751342923933017,0.014321346348525329,0.18170809082745382,0.8182919091725462,0.6950695930561589,0.3049304069438411
DNN,DF,0.3,0.00967108266702408,0.030435089362776974,0.12106722703307932,0.1785069055873027,0.00967108266702408,0.00901304621228311,0.013862464592731792,0.1785069055873027,0.8214930944126972,0.6929529682134989,0.30704703178650095
DNN,AutoPGD,0.01,0.9999078545609899,0.9503512406330238,0.9999150894433226,0.9221974219678384,0.9999078545609899,0.9311179224251849,0.999906049049956,0.9221974219678384,0.07780257803216169,0.9999812460052301,1.8753994769969558e-05
